epoch,wer,cer,accuracy,d_avg_loss, p_avg_loss
0,0.9216252647795109,0.5298675843836178,35.37653239929948,1.8933336633746907,97.28601640228533
1,0.8307336799537839,0.4196959682749504,36.42732049036778,1.843005242994276,62.848487756191155
2,0.7780666281532833,0.37454702919525035,32.57443082311734,1.8260721554190427,50.40101890074901
3,0.7336799537839399,0.3369419057820726,32.749562171628725,1.8265630350274555,40.69168038082938
4,0.7021952628538417,0.3149713973152221,30.385288966725042,1.8204247921200123,32.84379886154436
5,0.678894665896399,0.30191216354810035,37.39054290718038,1.8114855370279086,26.016133175548326
6,0.6578085884844984,0.2874854707477722,32.83712784588441,1.8190140663567236,20.164880272465894
7,0.6472174080492972,0.28014677393623083,38.44133099824869,1.8256887672311168,14.938505258723202
8,0.6371076449066051,0.27982770016181596,36.77758318739055,1.822267962714373,10.961061777620234
9,0.630367802811477,0.27485926567449914,37.215411558669004,1.7998806318994296,7.768040452044234
10,0.6256499133448874,0.27344622467351914,37.215411558669004,1.8052469896057906,5.461143069797092
